cik,GVKEY IQ,gvkey,tic,fic,conm,sector,industry_group,industry,sub_industry,sic,naics,NAICS6,NAICS2,NAICS3,Company Description,cluster,first_dim,second_dim
1750.0,GV_001004,1004,AIR,USA,AAR CORP,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,5080,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,Wholesale Trade,"Merchant Wholesalers, Durable Goods","AAR Corp. provides products and services to commercial aviation, government, and defense markets worldwide.",3,-0.24838131483828185,-0.01547805423410831
2034.0,GV_001094,1094,ACETQ,USA,ACETO CORP,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors,5160,424690,Other Chemical and Allied Products Merchant Wholesalers,Wholesale Trade,"Merchant Wholesalers, Nondurable Goods","On October 1, 2019, Aceto Corporation went out of business as per its Chapter 11 liquidation filing under bankruptcy.",3,0.014177245546985942,0.04627097125076957
2488.0,GV_001161,1161,AMD,USA,ADVANCED MICRO DEVICES,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,3674,334413,Semiconductor and Related Device Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide.",3,-0.20306173546026965,0.036322993248987294
2491.0,GV_012075,12075,BYI,USA,BALLY TECHNOLOGIES INC,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming,3990,339999,All Other Miscellaneous Manufacturing,Manufacturing,Miscellaneous Manufacturing,"Bally Technologies, Inc., a gaming company, designs, manufactures, operates, and distributes electronic gaming machines (EGM), network and casino-management systems, table game products, and interactive applications in the United States, Canada, and internationally.",3,-0.09370790815824173,-0.25081001295246336
2969.0,GV_001209,1209,APD,USA,AIR PRODUCTS & CHEMICALS INC,Materials,Materials,Chemicals,Industrial Gases,2810,325120,Industrial Gas Manufacturing,Manufacturing,Chemical Manufacturing,"Air Products and Chemicals, Inc. provides atmospheric gases, process and specialty gases, equipment, and services worldwide.",3,-0.3505227464224588,0.03849811942822085
4904.0,GV_001440,1440,AEP,USA,AMERICAN ELECTRIC POWER CO,Utilities,Utilities,Electric Utilities,Electric Utilities,4911,2211,"Electric Power Generation, Transmission and Distribution",Utilities,Utilities,"American Electric Power Company, Inc., an electric public utility holding company, engages in the generation, transmission, and distribution of electricity for sale to retail and wholesale customers in the United States.",3,-0.0971669025135702,0.16008179601963524
4977.0,GV_001449,1449,AFL,USA,AFLAC INC,Financials,Insurance,Insurance,Life & Health Insurance,6321,524114,Direct Health and Medical Insurance Carriers,Finance and Insurance,Insurance Carriers and Related Activities,"Aflac Incorporated, through its subsidiaries, provides supplemental health and life insurance products.",3,-0.27655188023924315,0.11869547414561973
5133.0,GV_001468,1468,AM.1,USA,AMERICAN GREETINGS  -CL A,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Housewares & Specialties,2771,511191,Greeting Card Publishers,Information,Publishing Industries (except Internet),"American Greetings Corporation designs, manufactures, distributes, and sells social expressions products.",3,-0.34293434312042625,0.08855861072267886
5272.0,GV_001487,1487,AIG,USA,AMERICAN INTERNATIONAL GROUP,Financials,Insurance,Insurance,Multi-line Insurance,6331,524126,Direct Property and Casualty Insurance Carriers,Finance and Insurance,Insurance Carriers and Related Activities,"American International Group, Inc. provides insurance products for commercial, institutional, and individual customers in North America and internationally.",3,-0.36946707813279644,-0.10792451015575698
7536.0,GV_001773,1773,ARW,USA,ARROW ELECTRONICS INC,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Technology Distributors,5065,423690,Other Electronic Parts and Equipment Merchant Wholesalers,Wholesale Trade,"Merchant Wholesalers, Durable Goods","Arrow Electronics, Inc. provides products, services, and solutions to industrial and commercial users of electronic components and enterprise computing solutions in Americas, Europe, the Middle East, Africa, and the Asia Pacific.",3,-0.18097467688033436,0.01923193340359593
8818.0,GV_001913,1913,AVY,USA,AVERY DENNISON CORP,Materials,Materials,Containers & Packaging,Paper Packaging,2670,322220,Paper Bag and Coated and Treated Paper Manufacturing,Manufacturing,Paper Manufacturing,Avery Dennison Corporation produces and sells pressure-sensitive materials worldwide.,3,-0.27779055966303207,-0.15854660165704781
8868.0,GV_001920,1920,AVP,USA,AVON PRODUCTS,Consumer Staples,Household & Personal Products,Personal Products,Personal Products,2844,325620,Toilet Preparation Manufacturing,Manufacturing,Chemical Manufacturing,"Avon Products, Inc. manufactures and markets beauty and related products in Europe, the Middle East, Africa, south Latin America, north Latin America, and the Asia Pacific.",3,-0.4229358013615269,0.05596044476479399
9342.0,GV_001981,1981,BEZ,USA,BALDOR ELECTRIC CO,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment,3621,335312,Motor and Generator Manufacturing,Manufacturing,"Electrical Equipment, Appliance, and Component Manufacturing","ABB Motors and Mechanical Inc. designs and manufactures industrial electric motors, drives, and mechanical power transmission products.",3,-0.07735566465056991,-0.104871122371069
9631.0,GV_015582,15582,BNS.,CAN,BANK OF NOVA SCOTIA,Financials,Banks,Banks,Diversified Banks,6020,522110,Commercial Banking,Finance and Insurance,Credit Intermediation and Related Activities,"The Bank of Nova Scotia provides various banking products and services in Canada, the United States, Mexico, Peru, Chile, Colombia, the Caribbean and Central America, and internationally.",3,-0.21781842230525697,0.07739524363311111
9892.0,GV_002044,2044,BCR,USA,BARD (C.R.) INC,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,3841,339112,Surgical and Medical Instrument Manufacturing,Manufacturing,Miscellaneous Manufacturing,"C. R. Bard, Inc. designs, manufactures, packages, distributes, and sells medical, surgical, diagnostic, and patient care devices worldwide.",3,-0.21761833080592646,0.013411189845559928
10456.0,GV_002086,2086,BAX,USA,BAXTER INTERNATIONAL INC,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,2834,325412,Pharmaceutical Preparation Manufacturing,Manufacturing,Chemical Manufacturing,"Baxter International Inc., through its subsidiaries, develops and provides a portfolio of healthcare products.",3,-0.2427278050563746,-0.1252241883546439
11544.0,GV_014822,14822,WRB,USA,BERKLEY (W R) CORP,Financials,Insurance,Insurance,Property & Casualty Insurance,6331,524126,Direct Property and Casualty Insurance Carriers,Finance and Insurance,Insurance Carriers and Related Activities,"W. R. Berkley Corporation, an insurance holding company, operates as a commercial lines writer in the United States and internationally.",3,-0.18666584309436193,-0.2405801093984323
12927.0,GV_002285,2285,BA,USA,BOEING CO,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,3721,336411,Aircraft Manufacturing,Manufacturing,Transportation Equipment Manufacturing,"The Boeing Company, together with its subsidiaries, designs, develops, manufactures, sales, services, and supports commercial jetliners, military aircraft, satellites, missile defense, human space flight and launch systems, and services worldwide.",3,-0.23334422728711207,-0.10546944531870465
14195.0,GV_002393,2393,BGG,USA,BRIGGS & STRATTON,Industrials,Capital Goods,Machinery,Industrial Machinery,3510,333618,Other Engine Equipment Manufacturing,Manufacturing,Machinery Manufacturing,"Briggs & Stratton Corporation designs, manufactures, markets, sells, and services gasoline engines for outdoor power equipment to the original equipment manufacturers in the United States.",3,-0.2272476374475377,0.08544047621864612
14272.0,GV_002403,2403,BMY,USA,BRISTOL-MYERS SQUIBB CO,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,2834,325412,Pharmaceutical Preparation Manufacturing,Manufacturing,Chemical Manufacturing,"Bristol-Myers Squibb Company discovers, develops, licenses, manufactures, markets, distributes, and sells biopharmaceutical products worldwide.",3,-0.38030254017843523,0.0628034548201236
