cik,GVKEY IQ,gvkey,tic,fic,conm,sector,industry_group,industry,sub_industry,sic,naics,NAICS6,NAICS2,NAICS3,Company Description,cluster,first_dim,second_dim,third_dim,forth_dim,fifth_dim
1750.0,GV_001004,1004,AIR,USA,AAR CORP,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,5080,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,Wholesale Trade,"Merchant Wholesalers, Durable Goods","AAR Corp. provides products and services to commercial aviation, government, and defense markets worldwide.",9,-0.04972593489989788,-0.11230573318598996,-0.06135414079204591,-0.010770889872237264,0.06531818510016939
2135.0,GV_030697,30697,ACS,USA,AFFILIATED COMPUTER SERVICES,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services,7374,518210,"Data Processing, Hosting, and Related Services",Information,"Data Processing, Hosting, and Related Services","Conduent Business Services, LLC provides digital platforms and services for Fortune 100 companies and government entities worldwide.",9,0.28218217123501205,-0.10578831899794114,0.19001138991647273,-0.11894151557136874,0.03399067852867735
2488.0,GV_001161,1161,AMD,USA,ADVANCED MICRO DEVICES,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,3674,334413,Semiconductor and Related Device Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide.",9,0.1322097599529305,0.04763681463104551,0.05887216213560418,-0.010246732739014094,-0.19449138466352278
2969.0,GV_001209,1209,APD,USA,AIR PRODUCTS & CHEMICALS INC,Materials,Materials,Chemicals,Industrial Gases,2810,325120,Industrial Gas Manufacturing,Manufacturing,Chemical Manufacturing,"Air Products and Chemicals, Inc. provides atmospheric gases, process and specialty gases, equipment, and services worldwide.",9,-0.07558356998770767,-0.2711860440798001,-0.3468528111533199,0.1503607652172182,0.01147444430282868
3116.0,GV_014304,14304,AKRX,USA,AKORN INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,2834,325412,Pharmaceutical Preparation Manufacturing,Manufacturing,Chemical Manufacturing,"Akorn, Inc., a specialty pharmaceutical company, develops, manufactures, and markets generic and branded prescription pharmaceuticals, over-the-counter (OTC) consumer health products, and animal health pharmaceuticals in the United States and internationally.",9,0.12147336280735357,0.04852353378267277,0.138778790359386,0.22690074895154674,0.0007212787576995481
4962.0,GV_001447,1447,AXP,USA,AMERICAN EXPRESS CO,Financials,Diversified Financials,Consumer Finance,Consumer Finance,6141,522210,Credit Card Issuing,Finance and Insurance,Credit Intermediation and Related Activities,"American Express Company, together with its subsidiaries, provides charge and credit payment card products, and travel-related services worldwide.",9,0.008182911861688373,-0.41746373911995543,-0.14427504241723024,-0.2905228590650486,-0.04825062687062515
4977.0,GV_001449,1449,AFL,USA,AFLAC INC,Financials,Insurance,Insurance,Life & Health Insurance,6321,524114,Direct Health and Medical Insurance Carriers,Finance and Insurance,Insurance Carriers and Related Activities,"Aflac Incorporated, through its subsidiaries, provides supplemental health and life insurance products.",9,-0.05695363711647954,-0.36616163504746296,-0.07655114198809229,-0.36119816973716745,-0.3631263624116545
5981.0,GV_001585,1585,AVD,USA,AMERICAN VANGUARD CORP,Materials,Materials,Chemicals,Fertilizers & Agricultural Chemicals,2870,325320,Pesticide and Other Agricultural Chemical Manufacturing,Manufacturing,Chemical Manufacturing,"American Vanguard Corporation, through its subsidiaries, develops, manufactures, and markets specialty chemicals for agricultural, commercial, and consumer uses in the United States and internationally.",9,0.02746680311484511,-0.10378777657996573,0.0875204642746162,0.05972683975580627,0.21059913631531102
6284.0,GV_001633,1633,ALOG,USA,ANALOGIC CORP,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,3845,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"Analogic Corporation designs, manufactures, and sells medical imaging systems, ultrasound and security systems, and subsystems to original equipment manufacturers (OEMs) and end users primarily for the medical and airport security markets worldwide.",9,0.09928785492424266,0.04332078386642311,-0.07131309816452588,0.18297034784992197,0.06328527611028835
6951.0,GV_001704,1704,AMAT,USA,APPLIED MATERIALS INC,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,3559,333242,Semiconductor Machinery Manufacturing,Manufacturing,Machinery Manufacturing,"Applied Materials, Inc. provides manufacturing equipment, services, and software to the semiconductor, display, and related industries.",9,0.3967211055277286,-0.3417970637129338,-0.010888800169208889,-0.0509651562416271,-0.21204645795929908
6955.0,GV_001706,1706,EPAC,USA,ENERPAC TOOL GROUP CORP,Industrials,Capital Goods,Machinery,Industrial Machinery,3533,333132,Oil and Gas Field Machinery and Equipment Manufacturing,Manufacturing,Machinery Manufacturing,"Enerpac Tool Group Corp., doing business as Enerpac Tool Group, designs, manufactures, and distributes a range of industrial products and systems worldwide.",9,0.15153040237236176,0.05499221316342728,-0.14759357291332875,-0.07511062487876331,-0.07058441240109896
8818.0,GV_001913,1913,AVY,USA,AVERY DENNISON CORP,Materials,Materials,Containers & Packaging,Paper Packaging,2670,322220,Paper Bag and Coated and Treated Paper Manufacturing,Manufacturing,Paper Manufacturing,Avery Dennison Corporation produces and sells pressure-sensitive materials worldwide.,9,0.16428234635292283,-0.3658090945300647,-0.04252687393757938,-0.15256766305570102,0.35284613384529345
8858.0,GV_001919,1919,AVT,USA,AVNET INC,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Technology Distributors,5065,423690,Other Electronic Parts and Equipment Merchant Wholesalers,Wholesale Trade,"Merchant Wholesalers, Durable Goods","Avnet, Inc., a technology solutions company, markets, sells, and distributes electronic components.",9,0.09491216161797857,-0.5623693363152719,-0.005649717378181658,0.04484293181720169,0.1332487294624924
14930.0,GV_002444,2444,BC,USA,BRUNSWICK CORP,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products,3510,333618,Other Engine Equipment Manufacturing,Manufacturing,Machinery Manufacturing,"Brunswick Corporation designs, manufactures, and markets recreation products worldwide.",9,-0.0338476144541766,-0.407223078217619,-0.21550770736922895,0.26261276228906505,0.09466629215745832
16873.0,GV_002697,2697,NXY.,CAN,NEXEN INC,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,1311,211111,Coal gasification at mine site,"Mining, Quarrying, and Oil and Gas Extraction",Oil and Gas Extraction,"CNOOC Petroleum North America ULC engages in the exploration, development, and production of petroleum and natural in Canada.",9,-0.021876990948959042,0.20131290376708166,-0.3788542847328335,-0.11576890206922584,-0.35079667422768174
17843.0,GV_002787,2787,CRS,USA,CARPENTER TECHNOLOGY CORP,Materials,Materials,Metals & Mining,Steel,3312,331110,Iron and Steel Mills and Ferroalloy Manufacturing,Manufacturing,Primary Metal Manufacturing,"Carpenter Technology Corporation manufactures, fabricates, and distributes specialty metals worldwide.",9,-0.0903795412209105,0.02153680291355019,-0.264239109651785,0.10272272176658334,0.06959774731862194
18396.0,GV_002538,2538,CDI,USA,CDI CORP,Industrials,Commercial  & Professional Services,Professional Services,Human Resource & Employment Services,7363,5613,Employment Services,Administrative and Support and Waste Management and Remediation Services,Administrative and Support Services,"CDI Corp. provides engineering, information technology (IT), and staffing solutions worldwide.",9,-0.1150839882205553,-0.010250008114886423,-0.05110791594637954,0.2693531518368911,0.10135553162213244
18498.0,GV_005109,5109,GCO,USA,GENESCO INC,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail,5661,448210,Shoe Stores,Retail Trade,Clothing and Clothing Accessories Stores,"Genesco Inc. operates as a retailer and wholesaler of footwear, apparel, and accessories.",9,-0.017775243482846308,-0.12125913735396668,-0.07683817534756553,0.07393693317029308,-0.17947933291895415
18926.0,GV_002884,2884,CTL,USA,CENTURYLINK INC,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Alternative Carriers,4813,517311,Wired Telecommunications Carriers,Information,Telecommunications,"CenturyLink, Inc., a facilities-based communications company, provides various integrated services under ‘CenturyLink’ name to business and residential customers in the United States and internationally.",9,0.19490836831109362,-0.1701223441911254,0.2925328692908985,-0.2277094977665213,-0.2877856818666309
18937.0,GV_002888,2888,CRDN,USA,CERADYNE INC,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,3290,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,Manufacturing,Nonmetallic Mineral Product Manufacturing,"Ceradyne, Inc. develops and manufactures ceramic products and components.",9,0.006947516763453866,0.1904013288462437,-0.0548029369414997,0.13405620687166128,-0.18273596918848448
20171.0,GV_003024,3024,CB.1,USA,CHUBB CORP,Financials,Insurance,Insurance,Property & Casualty Insurance,6331,524126,Direct Property and Casualty Insurance Carriers,Finance and Insurance,Insurance Carriers and Related Activities,"The Chubb Corporation, through its subsidiaries, provides property and casualty insurance to businesses and individuals.",9,-0.2330043461256614,-0.1274040977538586,0.12365216349213574,-0.20122107032712114,0.23279395789996404
21535.0,GV_003158,3158,COHU,USA,COHU INC,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,3825,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,Manufacturing,Computer and Electronic Product Manufacturing,"Cohu, Inc., through its subsidiaries, provides semiconductor test and inspection handlers, micro-electro mechanical system (MEMS) test modules, test contactors, thermal sub-systems, semiconductor automated test equipment (ATE), and bare board printed circuit board (PCB) test systems for semiconductor and electronics manufacturers, and test subcontractors worldwide.",9,0.3467014619159944,-0.012660252604392942,-0.09980654418168931,0.22298016092070305,0.005785526670575595
21665.0,GV_003170,3170,CL,USA,COLGATE-PALMOLIVE CO,Consumer Staples,Household & Personal Products,Household Products,Household Products,2844,325611,Soap and Other Detergent Manufacturing,Manufacturing,Chemical Manufacturing,"Colgate-Palmolive Company, together with its subsidiaries, manufactures and sells consumer products worldwide.",9,-0.006935477923796618,-0.5189921427271935,-0.12328542586284283,-0.4268386665278831,0.08545782074627302
23675.0,GV_003416,3416,CNW,USA,CON-WAY INC,Industrials,Transportation,Road & Rail,Trucking,4210,492110,Couriers and Express Delivery Services,Transportation and Warehousing,Couriers and Messengers,"XPO CNW, Inc., together with its subsidiaries, provides transportation, logistics, and supply chain management services to various manufacturing, industrial, and retail customers in North America and internationally.",9,0.101234568311409,-0.12019208789237766,-0.06951930920075823,0.25809597139672336,0.049669797483187936
25445.0,GV_003580,3580,CR,USA,CRANE CO,Industrials,Capital Goods,Machinery,Industrial Machinery,3490,332912,Fluid Power Valve and Hose Fitting Manufacturing,Manufacturing,Fabricated Metal Product Manufacturing,Crane Co. manufactures and sells engineered industrial products in the United States and internationally.,9,-0.0792352370303795,-0.3864286776375253,-0.19797612917446436,0.11626588417102246,0.2837793253505585
27419.0,GV_003813,3813,TGT,USA,TARGET CORP,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores,5331,452319,All Other General Merchandise Stores,Retail Trade,General Merchandise Stores,Target Corporation operates as a general merchandise retailer in the United States.,9,0.11278974342437145,-0.37273704453373024,0.08288333139753827,-0.12259735674305171,-0.12244093513061033
28823.0,GV_003946,3946,DBD,USA,DIEBOLD NIXDORF INC,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",3578,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"Diebold Nixdorf, Incorporated provides connected commerce solutions to financial institutions and retailers in Western Europe, Eastern Europe, Asia, the Middle East, Africa, the United States, Canada, Mexico, and Latin America.",9,-0.14181592167309043,-0.2953488110539173,0.0696119235654859,-0.050627414742565165,0.11451064046773776
29644.0,GV_004036,4036,DCI,USA,DONALDSON CO INC,Industrials,Capital Goods,Machinery,Industrial Machinery,3714,336390,Other Motor Vehicle Parts Manufacturing,Manufacturing,Transportation Equipment Manufacturing,"Donaldson Company, Inc. manufactures and sells filtration systems and replacement parts worldwide.",9,-0.05688506554293412,-0.10682894725549326,-0.15524988855213437,0.1921814945892724,0.2976431760594111
29905.0,GV_004058,4058,DOV,USA,DOVER CORP,Industrials,Capital Goods,Machinery,Industrial Machinery,3585,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,Manufacturing,Machinery Manufacturing,"Dover Corporation provides equipment and components, consumable supplies, aftermarket parts, software and digital solutions, and support services worldwide.",9,-0.08982250182497517,0.02640208460745657,-0.08646533394340537,-0.09107249830353274,0.0524800494301114
29989.0,GV_004066,4066,OMC,USA,OMNICOM GROUP,Communication Services,Media & Entertainment,Media,Advertising,7311,541810,Advertising Agencies,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services","Omnicom Group Inc., together with its subsidiaries, provides advertising, marketing, and corporate communications services.",9,0.20182208768448962,-0.30844089006613307,0.12000811672931078,-0.35413915620580555,-0.12941570605781944
30554.0,GV_004087,4087,DD.2,USA,DU PONT (E I) DE NEMOURS,Materials,Materials,Chemicals,Diversified Chemicals,2820,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",Manufacturing,Chemical Manufacturing,E. I. du Pont de Nemours and Company provides seeds and crop protection products worldwide.,9,-0.09748863460647912,-0.16501856373142657,-0.3555348498620951,-0.06082345108873673,0.15434024192722245
