cik,GVKEY IQ,gvkey,tic,fic,conm,sector,industry_group,industry,sub_industry,sic,naics,NAICS6,NAICS2,NAICS3,Company Description,cluster,first_dim,second_dim,third_dim,forth_dim,fifth_dim
31978.0,GV_004241,4241,EE,USA,EL PASO ELECTRIC CO,Utilities,Utilities,Electric Utilities,Electric Utilities,4911,22111,Electric Power Generation,Utilities,Utilities,"El Paso Electric Company, a public utility company, engages in the generation, transmission, and distribution of electricity in west Texas and southern New Mexico. It generates electricity through nuclear fuel, natural gas, and coal, as well as solar photovoltaic panels and wind turbines with a generating capability of approximately 2,085 megawatts.",8,0.168209294276343,0.10325351025519486,0.14044674592931242,0.05886868471492205,-0.06290234873193437
34067.0,GV_004497,4497,BOOM,USA,DMC GLOBAL INC,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,3533,333132,Oil and Gas Field Machinery and Equipment Manufacturing,Manufacturing,Machinery Manufacturing,"DMC Global Inc. engages in technical product and process businesses serving the energy, industrial, and infrastructure markets worldwide.",8,-0.003273351330377604,0.03043977044783942,-0.027925215430463543,0.07172807994428794,-0.0034143172493800397
37996.0,GV_004839,4839,F,USA,FORD MOTOR CO,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers,3711,33611,Automobile and Light Duty Motor Vehicle Manufacturing,Manufacturing,Transportation Equipment Manufacturing,"Ford Motor Company designs, manufactures, markets, and services a range of Ford cars, trucks, sport utility vehicles, electrified vehicles, and Lincoln luxury vehicles worldwide.",8,-0.32176208585607646,-0.14212376684337824,-0.14012847249629898,-0.05374358169459881,-0.013379468766874568
41133.0,GV_005142,5142,GRB,USA,GERBER SCIENTIFIC INC,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,3559,333319,"Alignment equipment, motor vehicle, manufacturing",Manufacturing,Machinery Manufacturing,"Gerber Scientific, Inc., through its subsidiaries, provides software and hardware systems to automate and manage product design, manufacturing, and product life cycle management processes.",8,-0.22429587924051883,0.0029847707684770674,0.015234529299821968,0.04294596205013242,-0.23654616764873732
49754.0,GV_024291,24291,DIN,USA,DINE BRANDS GLOBAL INC,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants,6794,533110,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),Real Estate and Rental and Leasing,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),"Dine Brands Global, Inc., together with its subsidiaries, owns, franchises, operates, and rents full-service restaurants in the United States and internationally.",8,-0.26345680406121447,-0.11478448487979477,-0.11183105535047759,-0.03280162945555418,-0.14684244934692078
51434.0,GV_006104,6104,IP,USA,INTL PAPER CO,Materials,Materials,Containers & Packaging,Paper Packaging,2631,322130,Paperboard Mills,Manufacturing,Paper Manufacturing,"International Paper Company operates as a paper and packaging company primarily in United States, the Middle East, Europe, Africa, Pacific Rim, Asia, and the Americas.",8,-0.34260526285633686,-0.27376638934324843,-0.15157601207898003,-0.011198746176178437,0.06050206744121527
54991.0,GV_006370,6370,KEI,USA,KEITHLEY INSTRUMENTS INC,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,3825,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,Manufacturing,Computer and Electronic Product Manufacturing,"Keithley Instruments, Inc. designs,develops,manufactures,and markets complex electronic instruments and systems to the electronics manufacturers for high-performance production testing, process monitoring,product development,and research.",8,-0.12583262764840386,0.4115450587154287,-0.0474551603271936,-0.1103714083568294,-0.1382497830225147
57131.0,GV_006543,6543,LZB,USA,LA-Z-BOY INC,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Home Furnishings,2510,337121,Upholstered Household Furniture Manufacturing,Manufacturing,Furniture and Related Product Manufacturing,"La-Z-Boy Incorporated manufactures, markets, imports, exports, distributes, and retails upholstery furniture products, accessories, and casegoods furniture products in the United States, Canada, and internationally.",8,-0.19603880046099964,-0.12817238447296084,-0.007356622737158767,-0.08214027496157207,-0.14348648243402823
60519.0,GV_006821,6821,LPX,USA,LOUISIANA-PACIFIC CORP,Materials,Materials,Paper & Forest Products,Forest Products,2400,321219,Reconstituted Wood Product Manufacturing,Manufacturing,Wood Product Manufacturing,"Louisiana-Pacific Corporation, together with its subsidiaries, manufactures building products primarily for use in new home construction, repair and remodeling, and outdoor structure markets.",8,-0.32108826727542494,-0.06280102927402559,-0.11897030075880925,-0.06139255392030575,-0.0028290719509679657
68270.0,GV_007566,7566,RT,USA,RUBY TUESDAY INC,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants,5812,722511,Full-Service Restaurants,Accommodation and Food Services,Food Services and Drinking Places,"Ruby Tuesday, Inc., together with its subsidiaries, engages in the ownership, development, operation, and franchise of casual dining restaurants under the Ruby Tuesday name in the United States and internationally.",8,-0.3574758793103768,-0.10278394195142461,-0.04357017858220011,-0.004168970698802299,-0.25292690322900385
