cik,GVKEY IQ,gvkey,tic,fic,conm,sector,industry_group,industry,sub_industry,sic,naics,NAICS6,NAICS2,NAICS3,Company Description,cluster,first_dim,second_dim,third_dim,forth_dim,fifth_dim
730255.0,GV_002615,2615,CAMP,USA,CALAMP CORP,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,3663,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"CalAmp Corp. provides in telematics systems, and software and subscription services in the United States, Latin America, Western Europe, Asia Pacific, the Middle East, Africa, and internationally.",9,-0.18580645832739123,-0.10777087072829315,-0.19918397409664373,-0.1763184645276435,0.11115423983931474
730272.0,GV_012181,12181,RGEN,USA,REPLIGEN CORP,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,Life Sciences Tools & Services,2836,325414,Biological Product (except Diagnostic) Manufacturing,Manufacturing,Chemical Manufacturing,"Repligen Corporation develops and commercializes bioprocessing technologies and systems that are used in biological drug manufacturing process in North America, Europe, APAC, and internationally.",9,-0.1513269685005175,0.3949783823327401,-0.0408257177560121,-0.16283770977169515,-0.11799599595630023
741696.0,GV_027997,27997,APSG,USA,APPLIED SIGNAL TECHNOLOGY,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,3663,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"Raytheon Applied Signal Technology, Inc. designs, develops, and deploys intelligence, surveillance, and reconnaissance products and systems for government and military applications in the United States and internationally.",9,-0.0003145770859229668,0.3990170635782973,0.1462461772400782,-0.2591730975175019,0.0922329677771766
743316.0,GV_014256,14256,MXIM,USA,MAXIM INTEGRATED PRODUCTS,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,3674,334413,Semiconductor and Related Device Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"Maxim Integrated Products, Inc. designs, develops, manufactures, and markets a range of linear and mixed-signal integrated circuits in the United States, China, the rest of Asia, Europe, and internationally.",9,-0.36618058406070275,-0.06409850901588145,-0.11043429796514652,-0.045064526400951765,-0.031083181880856802
753568.0,GV_004476,4476,EXAR,USA,EXAR CORP,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,3674,334413,Semiconductor and Related Device Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"Exar Corporation designs, develops, and markets high performance analog mixed-signal integrated circuits and sub-system solutions for the industrial and embedded systems, high-end consumer, and infrastructure markets worldwide.",9,-0.05164801490680499,0.2076615523286117,-0.0857577642779526,0.02449735809129716,0.012520427091318315
754737.0,GV_009445,9445,SCG,USA,SCANA CORP,Utilities,Utilities,Multi-Utilities,Multi-Utilities,4931,22111,Electric Power Generation,Utilities,Utilities,"SCANA Corporation, through its subsidiaries, generates, transmits, distributes, and sells electricity to wholesale and retail customers.",9,-0.10568851202211692,0.2706793446174665,-0.06003556383674483,0.2676817331644145,-0.04436296013765141
758004.0,GV_011910,11910,NOVL,USA,NOVELL INC,Information Technology,Software & Services,Software,Systems Software,7370,541519,Other Computer Related Services,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services","Novell, Inc. provides Net services software solutions that deliver services to secure various networks that include the Internet, intranets, extranets, wired to wireless networks, and corporate and public networks.",9,-0.27598081664058394,0.2473721340090187,-0.18931387138585037,0.009402708917603269,-0.2221635951058757
764478.0,GV_002184,2184,BBY,USA,BEST BUY CO INC,Consumer Discretionary,Retailing,Specialty Retail,Computer & Electronics Retail,5731,443142,Electronics Stores,Retail Trade,Electronics and Appliance Stores,"Best Buy Co., Inc. operates as a retailer of technology products, services, and solutions in the United States, Canada, and Mexico. The company operates in two segments, Domestic and International.",9,0.03854607624039082,0.11000959733901887,0.42969821213092446,-0.14298413811775643,-0.3641971057938023
771992.0,GV_020670,20670,PAAS.,CAN,PAN AMERICAN SILVER CORP,Materials,Materials,Metals & Mining,Silver,1040,212222,Silver Ore Mining,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),"Pan American Silver Corp., together with its subsidiaries, engages in the exploration, development, extraction, processing, refining, and reclamation of silver mines.",9,-0.5357205055244474,0.11227379956288246,0.05145767302772774,0.37640249029274936,-0.1108790139266068
785161.0,GV_012589,12589,EHC,USA,ENCOMPASS HEALTH CORP,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities,8060,622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,Health Care and Social Assistance,Hospitals,Encompass Health Corporation provides facility-based and home-based post-acute healthcare services.,9,0.026735191995591694,0.11740789992339633,0.1293993594111662,0.17058456195813881,0.075975599281367
785786.0,GV_012945,12945,PLXS,USA,PLEXUS CORP,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,3672,334412,Bare Printed Circuit Board Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"Plexus Corp., together with its subsidiaries, provides electronic manufacturing services in the Americas, Europe, the Middle East, Africa, and the Asia-Pacific.",9,0.10257140182193027,-0.21757632328208817,-0.15116099015662332,-0.21560340229081523,0.011210854169203257
793733.0,GV_012392,12392,SKYW,USA,SKYWEST INC,Industrials,Transportation,Airlines,Airlines,4512,481111,Scheduled Passenger Air Transportation,Transportation and Warehousing,Air Transportation,"SkyWest, Inc., through its subsidiaries, operates a regional airline in the United States.",9,0.3191534711013816,0.4039491291938599,0.047191653387379705,0.11742428452951495,0.02836095424245772
