cik,GVKEY IQ,gvkey,tic,fic,conm,sector,industry_group,industry,sub_industry,sic,naics,NAICS6,NAICS2,NAICS3,Company Description,cluster,first_dim,second_dim
1646383,GV_026304,26304,CSRA,USA,CSRA INC,Information Technology,Software & Services,IT Services,IT Consulting & Other Services,7370,54151,Computer Systems Design and Related Services,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services","CSRA Inc. delivers a range of information technology solutions and professional services to its U.S. government customers to modernize legacy systems, protect networks and assets, and enhance the mission-critical functions for war fighters and citizens.",2,-0.4506744155653425,0.1785121754293734
1646587,GV_026351,26351,NRE,USA,NORTHSTAR REALTY EUROPE CORP,Real Estate,Real Estate,"Equity Real Estate 
Investment Trusts 
(REITs)",Office REITs,6798,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),Real Estate and Rental and Leasing,Real Estate,"NorthStar Realty Europe Corp. is a European focused commercial real estate company with predominately prime office properties within key cities in Germany, the United Kingdom and France, organized as a REIT and managed by an affiliate of Colony Capital, Inc. (NYSE: CLNY), a leading global equity REIT with an embedded investment management platform.",2,-0.6315326667541108,0.2207803629205397
1648893,GV_026382,26382,NVTRQ,USA,NUVECTRA CORP,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,3845,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"Nuvectra Corporation, a neurostimulation medical device company, develops and commercializes neurostimulation technology platform for the treatment of various disorders in neuroscience and clinical markets.",2,-0.6166089086533069,0.2869978101146673
1650445,GV_026157,26157,QHC,USA,QUORUM HEALTH CORP,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities,8062,622110,General Medical and Surgical Hospitals,Health Care and Social Assistance,Hospitals,"Quorum Health Corporation, together with its subsidiaries, provides hospital and outpatient healthcare services in the United States.",2,-0.6161022290482787,0.2868572143928146
1651561,GV_026788,26788,TRHC,USA,TABULA RASA HEALTHCARE INC,Health Care,Health Care Equipment & Services,Health Care Technology,Health Care Technology,7370,519130,Internet Publishing and Broadcasting and Web Search Portals,Information,Other Information Services,"Tabula Rasa HealthCare, Inc. operates as a healthcare technology company in the field of medication safety in the United States.",2,-0.6133128138659806,0.28532369593535034
1652535,GV_029191,29191,ICHR,CYM,ICHOR HOLDINGS LTD,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,3559,333242,Semiconductor Machinery Manufacturing,Manufacturing,Machinery Manufacturing,"Ichor Holdings, Ltd. engages in the design, engineering, and manufacture of fluid delivery subsystems and components for semiconductor capital equipment.",2,-0.4979639646842099,0.2692290198992678
1656239,GV_005671,5671,PNK,USA,PINNACLE ENTERTAINMENT INC,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming,7990,713210,Casinos (except Casino Hotels),"Arts, Entertainment, and Recreation","Amusement, Gambling, and Recreation Industries","Pinnacle Entertainment, Inc. owns, develops, and operates casinos and related hospitality and entertainment facilities in the United States.",2,-0.5045552348411322,0.2742566256932058
1668428,GV_027215,27215,FG,CYM,FGL HOLDINGS,Financials,Diversified Financials,Diversified Financial Services,Other Diversified Financial Services,6311,524113,Direct Life Insurance Carriers,Finance and Insurance,Insurance Carriers and Related Activities,FGL Holdings sells individual life insurance products and annuities in the United States.,2,-0.6110045677822052,0.27185285053754304
1669162,GV_027652,27652,KNSL,USA,KINSALE CAPITAL GROUP INC,Financials,Insurance,Insurance,Property & Casualty Insurance,6331,524126,Direct Property and Casualty Insurance Carriers,Finance and Insurance,Insurance Carriers and Related Activities,"Kinsale Capital Group, Inc. provides as a casualty and property insurance products in the United States.",2,-0.6169583906016474,0.2825902017421478
1669812,GV_027802,27802,LKSD,USA,LSC COMMUNICATIONS INC,Industrials,Commercial  & Professional Services,Commercial Services & Supplies,Commercial Printing,2750,323111,Commercial Printing (except Screen and Books),Manufacturing,Printing and Related Support Activities,"LSC Communications, Inc., together with its subsidiaries, provides various traditional and digital print, print-related services, and office products in North America, Europe, and Mexico. It operates through Magazines, Catalogs and Logistics; Book; Office Products; Mexico; and Other segments.",2,-0.6117349743706817,0.277742982350406
1671013,GV_264397,264397,CATM,GBR,CARDTRONICS PLC,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services,7389,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",Finance and Insurance,Credit Intermediation and Related Activities,Cardtronics plc provides automated consumer financial services through its network of automated teller machines (ATMs) and multi-function financial services kiosks.,2,-0.6164058496700099,0.2836409318024296
1671584,GV_027338,27338,APVO,USA,APTEVO THERAPEUTICS INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,2836,325414,Biological Product (except Diagnostic) Manufacturing,Manufacturing,Chemical Manufacturing,"Aptevo Therapeutics Inc., a clinical-stage biotechnology company, engages in the discovery, development, commercialization, and sale of novel oncology and hematology therapeutics in the United States.",2,-0.5438218005352669,0.34463457476263226
