cik,GVKEY IQ,gvkey,tic,fic,conm,sector,industry_group,industry,sub_industry,sic,naics,NAICS6,NAICS2,NAICS3,Company Description,cluster,first_dim,second_dim
1419612.0,GV_023119,23119,SEDG,USA,SOLAREDGE TECHNOLOGIES INC,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,3674,334413,Semiconductor and Related Device Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"SolarEdge Technologies, Inc., together with its subsidiaries, designs, develops, and sells direct current (DC) optimized inverter systems for solar photovoltaic (PV) installations worldwide.",2,0.29080145203497143,0.04884292210514177
1434620.0,GV_180395,180395,ILG,USA,ILG INC,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",6532,531390,Other Activities Related to Real Estate,Real Estate and Rental and Leasing,Real Estate,"ILG, LLC, together with its subsidiaries, provides professional vacation services in the United States and internationally.",2,0.16748682374319906,0.11201461707795796
1455886.0,GV_180475,180475,P.,CAN,PRIMERO MINING CORP,Materials,Materials,Metals & Mining,Gold,1040,212221,Gold Ore Mining,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),"Primero Mining Corp., a precious metals producer, engages in the acquisition, exploration, development, and operation of mineral resource properties in Mexico. The company primarily explores for gold and silver deposits.",2,0.254643720558623,0.2544469742758026
1456772.0,GV_182701,182701,OPI,USA,OFFICE PROPERTIES INCOME TR,Real Estate,Real Estate,"Equity Real Estate 
Investment Trusts 
(REITs)",Office REITs,6798,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),Real Estate and Rental and Leasing,Real Estate,"OPI is a REIT focused on owning, operating and leasing properties primarily leased to single tenants and those with high credit quality characteristics such as government entities.",2,0.06499940428340244,-0.13445962100951642
1459108.0,GV_179424,179424,COLUF,CAN,COLOSSUS MINERALS INC,Materials,Materials,Metals & Mining,Gold,1000,212,Mining (except Oil and Gas),"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),"Colossus Minerals Inc., a development stage company, engages in the acquisition, exploration, and development of mineral properties.",2,0.604284542147562,0.09189478397731608
1464423.0,GV_183324,183324,PMT,USA,PENNYMAC MORTGAGE INVEST TR,Financials,Diversified Financials,"Mortgage Real Estate Investment 
Trusts (REITs)",Mortgage REITs,6798,525990,Other Financial Vehicles,Finance and Insurance,"Funds, Trusts, and Other Financial Vehicles","PennyMac Mortgage Investment Trust, a specialty finance company, invests primarily in mortgage-related assets in the United States.",2,0.11781671955798297,-0.25355208197287793
1470215.0,GV_029887,29887,TW.3,USA,TOWERS WATSON & CO,Industrials,Commercial  & Professional Services,Professional Services,Human Resource & Employment Services,8742,541612,Human Resources Consulting Services,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services","WTW Delaware Holdings LLC, a professional services company, provides human capital and financial consulting services worldwide.",2,0.23352006386905627,-0.08834303052496663
1472787.0,GV_184899,184899,FAF,USA,FIRST AMERICAN FINANCIAL CP,Financials,Insurance,Insurance,Property & Casualty Insurance,6361,524127,Direct Title Insurance Carriers,Finance and Insurance,Insurance Carriers and Related Activities,"First American Financial Corporation, through its subsidiaries, provides financial services.",2,0.04603551170460842,-0.44987780462065435
1484504.0,GV_012803,12803,GIMO,USA,GIGAMON INC,Information Technology,Software & Services,Software,Systems Software,7373,541512,Computer Systems Design Services,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services","Gigamon Inc. develops and delivers solution that delivers visibility and control of data-in-motion traversing enterprise, federal, and service provider networks in the United States, rest of Americas, Europe, the Middle East, Africa, and the Asia Pacific.",2,0.23189779498263172,0.34847131679348936
1487936.0,GV_030421,30421,SJ.,CAN,STELLA-JONES INC,Materials,Materials,Paper & Forest Products,Forest Products,2400,321,Wood Product Manufacturing,Manufacturing,Wood Product Manufacturing,"Stella-Jones Inc. produces, markets, and sells pressure treated wood products in Canada and the United States.",2,0.2545278627244754,0.07544463793628253
