cik,GVKEY IQ,gvkey,tic,fic,conm,sector,industry_group,industry,sub_industry,sic,naics,NAICS6,NAICS2,NAICS3,Company Description,cluster,first_dim,second_dim,third_dim,forth_dim,fifth_dim
1750.0,GV_001004,1004,AIR,USA,AAR CORP,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,5080,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,Wholesale Trade,"Merchant Wholesalers, Durable Goods","AAR Corp. provides products and services to commercial aviation, government, and defense markets worldwide.",3,-0.24838131483828185,-0.01547805423410831,-0.12535887618786268,-0.20638879346495578,-0.14224109654002942
2034.0,GV_001094,1094,ACETQ,USA,ACETO CORP,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors,5160,424690,Other Chemical and Allied Products Merchant Wholesalers,Wholesale Trade,"Merchant Wholesalers, Nondurable Goods","On October 1, 2019, Aceto Corporation went out of business as per its Chapter 11 liquidation filing under bankruptcy.",3,0.014177245546985942,0.04627097125076957,-0.18545120123459657,-0.1699682603557041,-0.012763825067095249
2488.0,GV_001161,1161,AMD,USA,ADVANCED MICRO DEVICES,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,3674,334413,Semiconductor and Related Device Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide.",3,-0.20306173546026965,0.036322993248987294,-0.20419760426549424,-0.10246908860224366,0.007331078429243664
2491.0,GV_012075,12075,BYI,USA,BALLY TECHNOLOGIES INC,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming,3990,339999,All Other Miscellaneous Manufacturing,Manufacturing,Miscellaneous Manufacturing,"Bally Technologies, Inc., a gaming company, designs, manufactures, operates, and distributes electronic gaming machines (EGM), network and casino-management systems, table game products, and interactive applications in the United States, Canada, and internationally.",3,-0.09370790815824173,-0.25081001295246336,-0.2569387018434691,-0.15685295413610464,-0.03137685753308449
2969.0,GV_001209,1209,APD,USA,AIR PRODUCTS & CHEMICALS INC,Materials,Materials,Chemicals,Industrial Gases,2810,325120,Industrial Gas Manufacturing,Manufacturing,Chemical Manufacturing,"Air Products and Chemicals, Inc. provides atmospheric gases, process and specialty gases, equipment, and services worldwide.",3,-0.3505227464224588,0.03849811942822085,0.023373154986990594,0.003661187790535149,-0.3807282021030059
4904.0,GV_001440,1440,AEP,USA,AMERICAN ELECTRIC POWER CO,Utilities,Utilities,Electric Utilities,Electric Utilities,4911,2211,"Electric Power Generation, Transmission and Distribution",Utilities,Utilities,"American Electric Power Company, Inc., an electric public utility holding company, engages in the generation, transmission, and distribution of electricity for sale to retail and wholesale customers in the United States.",3,-0.0971669025135702,0.16008179601963524,0.6206325521126611,0.09493087571583489,0.2142006156981636
4977.0,GV_001449,1449,AFL,USA,AFLAC INC,Financials,Insurance,Insurance,Life & Health Insurance,6321,524114,Direct Health and Medical Insurance Carriers,Finance and Insurance,Insurance Carriers and Related Activities,"Aflac Incorporated, through its subsidiaries, provides supplemental health and life insurance products.",3,-0.27655188023924315,0.11869547414561973,0.320877805879855,-0.02691466204396211,-0.037156521429723186
5133.0,GV_001468,1468,AM.1,USA,AMERICAN GREETINGS  -CL A,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Housewares & Specialties,2771,511191,Greeting Card Publishers,Information,Publishing Industries (except Internet),"American Greetings Corporation designs, manufactures, distributes, and sells social expressions products.",3,-0.34293434312042625,0.08855861072267886,0.2618160083514573,0.028541636952505226,0.10881001459337036
5272.0,GV_001487,1487,AIG,USA,AMERICAN INTERNATIONAL GROUP,Financials,Insurance,Insurance,Multi-line Insurance,6331,524126,Direct Property and Casualty Insurance Carriers,Finance and Insurance,Insurance Carriers and Related Activities,"American International Group, Inc. provides insurance products for commercial, institutional, and individual customers in North America and internationally.",3,-0.36946707813279644,-0.10792451015575698,0.28857448053457685,0.003729456300521387,-0.05520933238449598
7536.0,GV_001773,1773,ARW,USA,ARROW ELECTRONICS INC,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Technology Distributors,5065,423690,Other Electronic Parts and Equipment Merchant Wholesalers,Wholesale Trade,"Merchant Wholesalers, Durable Goods","Arrow Electronics, Inc. provides products, services, and solutions to industrial and commercial users of electronic components and enterprise computing solutions in Americas, Europe, the Middle East, Africa, and the Asia Pacific.",3,-0.18097467688033436,0.01923193340359593,0.034747807452860616,-0.037280697044599465,0.10040203379896137
8818.0,GV_001913,1913,AVY,USA,AVERY DENNISON CORP,Materials,Materials,Containers & Packaging,Paper Packaging,2670,322220,Paper Bag and Coated and Treated Paper Manufacturing,Manufacturing,Paper Manufacturing,Avery Dennison Corporation produces and sells pressure-sensitive materials worldwide.,3,-0.27779055966303207,-0.15854660165704781,0.055729398382829386,0.08697942228143248,-0.16847953939243804
8868.0,GV_001920,1920,AVP,USA,AVON PRODUCTS,Consumer Staples,Household & Personal Products,Personal Products,Personal Products,2844,325620,Toilet Preparation Manufacturing,Manufacturing,Chemical Manufacturing,"Avon Products, Inc. manufactures and markets beauty and related products in Europe, the Middle East, Africa, south Latin America, north Latin America, and the Asia Pacific.",3,-0.4229358013615269,0.05596044476479399,-0.007778963690022006,-0.13383084569764317,-0.16642832804819402
9342.0,GV_001981,1981,BEZ,USA,BALDOR ELECTRIC CO,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment,3621,335312,Motor and Generator Manufacturing,Manufacturing,"Electrical Equipment, Appliance, and Component Manufacturing","ABB Motors and Mechanical Inc. designs and manufactures industrial electric motors, drives, and mechanical power transmission products.",3,-0.07735566465056991,-0.104871122371069,0.12402845764031843,-0.1771452884113912,-0.08998297566110496
9631.0,GV_015582,15582,BNS.,CAN,BANK OF NOVA SCOTIA,Financials,Banks,Banks,Diversified Banks,6020,522110,Commercial Banking,Finance and Insurance,Credit Intermediation and Related Activities,"The Bank of Nova Scotia provides various banking products and services in Canada, the United States, Mexico, Peru, Chile, Colombia, the Caribbean and Central America, and internationally.",3,-0.21781842230525697,0.07739524363311111,0.1131441906570009,0.08339037721437123,-0.13355018955035913
9892.0,GV_002044,2044,BCR,USA,BARD (C.R.) INC,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,3841,339112,Surgical and Medical Instrument Manufacturing,Manufacturing,Miscellaneous Manufacturing,"C. R. Bard, Inc. designs, manufactures, packages, distributes, and sells medical, surgical, diagnostic, and patient care devices worldwide.",3,-0.21761833080592646,0.013411189845559928,-0.09768201653720661,0.23635874930021414,0.08305070548990022
10456.0,GV_002086,2086,BAX,USA,BAXTER INTERNATIONAL INC,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,2834,325412,Pharmaceutical Preparation Manufacturing,Manufacturing,Chemical Manufacturing,"Baxter International Inc., through its subsidiaries, develops and provides a portfolio of healthcare products.",3,-0.2427278050563746,-0.1252241883546439,0.19139230737927626,0.23835830319541626,-0.15865176707978113
11544.0,GV_014822,14822,WRB,USA,BERKLEY (W R) CORP,Financials,Insurance,Insurance,Property & Casualty Insurance,6331,524126,Direct Property and Casualty Insurance Carriers,Finance and Insurance,Insurance Carriers and Related Activities,"W. R. Berkley Corporation, an insurance holding company, operates as a commercial lines writer in the United States and internationally.",3,-0.18666584309436193,-0.2405801093984323,0.08276549983478143,-0.22910809438761406,-0.04250269661011077
12927.0,GV_002285,2285,BA,USA,BOEING CO,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,3721,336411,Aircraft Manufacturing,Manufacturing,Transportation Equipment Manufacturing,"The Boeing Company, together with its subsidiaries, designs, develops, manufactures, sales, services, and supports commercial jetliners, military aircraft, satellites, missile defense, human space flight and launch systems, and services worldwide.",3,-0.23334422728711207,-0.10546944531870465,0.010278991076192817,0.08398595267456707,-0.19945666508662188
14195.0,GV_002393,2393,BGG,USA,BRIGGS & STRATTON,Industrials,Capital Goods,Machinery,Industrial Machinery,3510,333618,Other Engine Equipment Manufacturing,Manufacturing,Machinery Manufacturing,"Briggs & Stratton Corporation designs, manufactures, markets, sells, and services gasoline engines for outdoor power equipment to the original equipment manufacturers in the United States.",3,-0.2272476374475377,0.08544047621864612,-0.11305361819792129,-0.1524314146725474,0.14820176744783442
14272.0,GV_002403,2403,BMY,USA,BRISTOL-MYERS SQUIBB CO,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,2834,325412,Pharmaceutical Preparation Manufacturing,Manufacturing,Chemical Manufacturing,"Bristol-Myers Squibb Company discovers, develops, licenses, manufactures, markets, distributes, and sells biopharmaceutical products worldwide.",3,-0.38030254017843523,0.0628034548201236,0.14990477691261817,0.28865118369187226,-0.2235849515125714
14707.0,GV_002436,2436,CAL,USA,CALERES INC,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail,3140,316210,Footwear Manufacturing,Manufacturing,Leather and Allied Product Manufacturing,"Caleres, Inc. engages in the retail and wholesale of footwear in the United States, Canada, Guam, and Italy.",3,-0.2622867652473253,-0.057094414477468346,-0.0191541989762601,-0.24637585781075683,-0.0018337711187514669
14930.0,GV_002444,2444,BC,USA,BRUNSWICK CORP,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products,3510,333618,Other Engine Equipment Manufacturing,Manufacturing,Machinery Manufacturing,"Brunswick Corporation designs, manufactures, and markets recreation products worldwide.",3,-0.3040892126118163,-0.14448679702210598,-0.12284029855471817,0.011777880662262588,-0.2711803497959889
